paper_id,exclusion_class,title,p2_silo,has_finance,has_qpu,has_quant
026a7b6919fc,NO_QUANT_METRICS,Hybrid classical-quantum computing: Applications to statistical mechanics of financial mar,derivative-pricing,True,True,False
0ab110ae249c,OUT_OF_SCOPE,Coherence-Gated Dimensional Access: Derivation and Physical Validation of Deff = Dmax × Φ(,,False,True,True
11807719b419,NON_FINANCE,Testing quantum theory by generalizing noncontextuality,,False,True,True
1502fad8d8ac,NON_FINANCE,Predictive Maintenance of Machine Health by S-NODE Using AR,risk-management,False,True,True
2f9096b00d49,NO_QUANTUM_CONTENT,Overcoming barriers to scalability in variational quantum Monte Carlo,simulation-monte-carlo,True,False,True
3432da9937d2,NON_FINANCE,A Variable-Angle-Distance Quantum Evolutionary Algorithm for 2D HP Model,,False,True,True
3bf7bbec10c5,TOO_SHORT_abstract_only,AI–Quantum Hybrid Models for Organizational Risk Forecasting and Crisis Management,risk-management,True,False,True
52b1d7c50b82,OUT_OF_SCOPE,"Variational quantum Monte Carlo study of two-dimensional Wigner crystals: exchange, correl",,True,True,True
55025d58c227,NON_FINANCE,"Quantum Decoherence Simulator with Fractal Correction Engine: Theory, Implementation, and ",,False,True,True
585676a57508,OUT_OF_SCOPE,A simple variational quantum Monte Carlo-effective mass approach for excitons and trions i,,True,True,True
629ad7ff1054,NO_QUANT_METRICS,Financial Market Modeling with Quantum Neural Networks,risk-management,True,True,False
7cc9ce4dad7d,NON_FINANCE,Detecting Financial Fraud: A Comparative Study of Quantum-Based Supervised Learning Algori,fraud-detection,False,True,True
7efbd5b186f9,OUT_OF_SCOPE,HAT v30.2: The Unified Theory of Structural Time and the Lag Horizon — Integrating Kletets,risk-management,True,True,True
862fc759b55d,NO_QUANTUM_CONTENT,Alternative sampling for variational quantum Monte Carlo,,True,False,True
9e79a3ba95a4,OUT_OF_SCOPE,Simulation of an inhomogeneous Fermi gas through the BCS-BEC crossover,,True,True,True
aa5b834c3a1d,NO_QUANTUM_CONTENT,Antifragile Quantum-Semantic Systems via CVaR-POVM & Riemannian Memory Manifolds,risk-management,True,False,True
c07bf2c04ef9,TOO_SHORT_abstract_only,Enhancing Knapsack-Based Financial Portfolio Optimization Using Quantum Approximate Optimi,portfolio-optimization,True,True,False
c65b93ca030a,NO_QUANTUM_CONTENT,An Innovative Hunting-based Quantum-inspired Jaguar Algorithm for Combinatorial Optimizati,portfolio-optimization,True,False,False
c7e723b86ecc,NO_QUANTUM_CONTENT,Quantum Monte Carlo study of the quasiparticle effective mass of the two-dimensional unifo,,True,False,True
cb7047eb4b01,NO_QUANTUM_CONTENT,Deterministic Commutative Normalization Achieves z-diff→0: A Comparative Analysis of Slime,,True,False,True
d0176849806b,TOO_SHORT_abstract_only,Quantum Virtualization for Scalable Fintech Workflows: Multi-Tenant qVMs in Quantum Cloud ,portfolio-optimization,True,True,True
e52f3f130a75,NON_FINANCE,A Hybrid Graph-Based Evolutionary Optimization Model Using SparseEA-AGDS for Secure and Sc,,False,True,True
