slr_id,title,doi,source_type,exclusion_reason,exclusion_detail,date_excluded
001f5dbe487a,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
0067a26ce270,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
00c17032f4af,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
045306ad1a16,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
0525be4c60fb,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
060ebc7a91c0,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
06c5f405d529,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
0757b9aa9a3b,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
075a4a34de90,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
076cb93860b0,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
081dbc9360d1,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
082f292f8c48,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
0a1f9315f6a7,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
0a96ec74c59f,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
0ab4724fd60f,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
0b40a3e55edc,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
0d70169cb87f,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
0e18f027f93b,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
0e9ded454de6,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
0eb7690657f2,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
10a2f644907f,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
12e854ac62a4,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
1312e9d3c55e,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
17229c637aaf,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
17382b2fd33a,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
183eee816106,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
1938aae185de,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
1961129130d1,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
1993ad0237f3,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
1a05f3c9e973,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
1b63c3136291,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
1bad58b8e8e7,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
1d715e0cd1aa,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
1df699f71a29,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
1ea2787cdf95,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
20b87836c550,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
2291b049d70f,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
2322e385b8e7,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
23311f65fe2a,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
23e03dc57b20,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
246963801530,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
24946c5b6c21,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
24ca4814e7f2,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
258cef4e076f,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
25a848404367,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
25da778231cf,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
2831368bf1cf,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
292400fdfae6,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
29f1f2555efe,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
29f4e9099932,,,,scope_out,methodology_tags=['quantum-annealing-qubo'],2026-04-17
2b34eb642f89,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
2c1bf46ead5a,,,,no_quantitative_results,P2 flagged no_quantitative_results,2026-04-17
