label,paper_id,experiment_id,silo,algorithm_family,fidelity,paper_fidelity,faithfulness_tier,paper_exact_claim_eligible,claim_scope,phase8_runnable,h4_evaluated,h4_passes_all,h4_failure_class,h4_failed_criteria,h4_tau_runtime,h4_full_t_count,h4_tau_t_depth,classical_baseline_scale_type,headline_h4_baseline_eligible,proxy_template,circuit_path,proxy_justification_path,circuit_sha256
SD1,0608ad48d5b8,exp_1,derivative-pricing,quantum-simulation,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/derivative_pricing/0608ad48d5b8__exp_1/circuit.py,p4_experiments/experiments/silos/derivative_pricing/0608ad48d5b8__exp_1/proxy_justification_SD1.md,009a19d8656ae4cafc2bd143433cb6bc81362e9ce103f16d495af138bf8664b5
SD10,9b277c9234e8,exp_1,derivative-pricing,other-gate-based,F,paper-faithful-template,paper-family-template,False,template/family-faithful only; not paper-exact,True,True,False,trivial_oracle_or_no_non_clifford_depth,C3_full_t_count_gt_0;C4_tau_tdepth_ge_10,1.9361702127659572,0.0,2.0,,,,p4_experiments/experiments/silos/derivative_pricing/9b277c9234e8__exp_1/circuit.py,,311fed4abd7f18ab20c63652a5f4eee373ff31565fc5f0356e76ba04a67d2e5d
SD11,af45ea1743f6,exp_1,derivative-pricing,quantum-ml,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,qgan_qae,p4_experiments/experiments/silos/derivative_pricing/af45ea1743f6/circuit.py,p4_experiments/experiments/silos/derivative_pricing/af45ea1743f6/proxy_justification_SD11.md,3d2604e05445c285eb91af14024e1f297a97fd468631c18c5d7218f31429a2b1
SD12,cb8d976cb90c,exp_1,derivative-pricing,other-gate-based,F,paper-faithful-template,paper-family-template,False,template/family-faithful only; not paper-exact,True,True,False,trivial_oracle_or_no_non_clifford_depth,C2_full_runtime_lt_baseline;C3_full_t_count_gt_0;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,1.9361702127659572,0.0,2.0,,,,p4_experiments/experiments/silos/derivative_pricing/cb8d976cb90c/circuit.py,,2eef43fe82044fb459a358fe34b01b0374821f85498dc2ccd60da012b0e3fd1e
SD13,cb8d976cb90c,exp_2,derivative-pricing,other-gate-based,F,paper-faithful-template,paper-family-template,False,template/family-faithful only; not paper-exact,True,True,False,trivial_oracle_or_no_non_clifford_depth,C3_full_t_count_gt_0;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,1.9361702127659572,0.0,2.0,,,,p4_experiments/experiments/silos/derivative_pricing/cb8d976cb90c__exp_2/circuit.py,,7de7622b573983a2de045e4f1802e02310e2b771c600bb1059893201f6b9fe09
SD14,d429e0713a3d,exp_3,derivative-pricing,other-gate-based,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/derivative_pricing/d429e0713a3d__exp_3/circuit.py,p4_experiments/experiments/silos/derivative_pricing/d429e0713a3d__exp_3/proxy_justification_SD14.md,c48e54fff7e51e7ed37f07c13b2531ee0a80e3e69dff9092a556ab69e7fd4322
SD15,d429e0713a3d,exp_4,derivative-pricing,amplitude-estimation,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,qae,p4_experiments/experiments/silos/derivative_pricing/d429e0713a3d__exp_4/circuit.py,p4_experiments/experiments/silos/derivative_pricing/d429e0713a3d__exp_4/proxy_justification_SD15.md,c5e70d0fd250206807221959c31263fb661257ec8aa5dbf789c4c5ff1c501c3d
SD16,d429e0713a3d,exp_5,derivative-pricing,hybrid,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/derivative_pricing/d429e0713a3d__exp_5/circuit.py,p4_experiments/experiments/silos/derivative_pricing/d429e0713a3d__exp_5/proxy_justification_SD16.md,bc6b732df10ee143440b4c5cb53b278bac78288da8c7ec8398f0a065f20d1f81
SD2,081132e62980,exp_1,derivative-pricing,other-gate-based,P,proxy,proxy,False,proxy coverage/sensitivity only,True,False,,,,,,,,,ansatz_stretch,p4_experiments/experiments/silos/derivative_pricing/081132e62980/circuit.py,p4_experiments/experiments/silos/derivative_pricing/081132e62980/proxy_justification_SD2.md,3398e3d16b78ed01b4f1190273789deb52c36ab25a86905395c77bd9adf59707
SD3,1bf880322e6f,exp_5,derivative-pricing,hhl,F,paper-faithful-template,paper-family-template,False,template/family-faithful only; not paper-exact,True,True,False,classical_baseline_too_small_and_not_beaten,C1_tau_runtime_lt_10;C2_full_runtime_lt_baseline;C5_baseline_ge_0_01s,241.8888888888889,14.0,160.0,,,,p4_experiments/experiments/silos/derivative_pricing/1bf880322e6f__exp_5/circuit.py,,e825c71fc7e7ff694fc204c219921a3c32687dab6e68d52c2c1b965f14ac9209
