label,silo,criterion,passed,failure_class
SD10,derivative-pricing,C1_tau_runtime_lt_10,1,trivial_oracle_or_no_non_clifford_depth
SD10,derivative-pricing,C2_full_runtime_lt_baseline,1,trivial_oracle_or_no_non_clifford_depth
SD10,derivative-pricing,C3_full_t_count_gt_0,0,trivial_oracle_or_no_non_clifford_depth
SD10,derivative-pricing,C4_tau_tdepth_ge_10,0,trivial_oracle_or_no_non_clifford_depth
SD10,derivative-pricing,C5_baseline_ge_0_01s,1,trivial_oracle_or_no_non_clifford_depth
SD12,derivative-pricing,C1_tau_runtime_lt_10,1,trivial_oracle_or_no_non_clifford_depth
SD12,derivative-pricing,C2_full_runtime_lt_baseline,0,trivial_oracle_or_no_non_clifford_depth
SD12,derivative-pricing,C3_full_t_count_gt_0,0,trivial_oracle_or_no_non_clifford_depth
SD12,derivative-pricing,C4_tau_tdepth_ge_10,0,trivial_oracle_or_no_non_clifford_depth
SD12,derivative-pricing,C5_baseline_ge_0_01s,0,trivial_oracle_or_no_non_clifford_depth
SD13,derivative-pricing,C1_tau_runtime_lt_10,1,trivial_oracle_or_no_non_clifford_depth
SD13,derivative-pricing,C2_full_runtime_lt_baseline,1,trivial_oracle_or_no_non_clifford_depth
SD13,derivative-pricing,C3_full_t_count_gt_0,0,trivial_oracle_or_no_non_clifford_depth
SD13,derivative-pricing,C4_tau_tdepth_ge_10,0,trivial_oracle_or_no_non_clifford_depth
SD13,derivative-pricing,C5_baseline_ge_0_01s,0,trivial_oracle_or_no_non_clifford_depth
SD3,derivative-pricing,C1_tau_runtime_lt_10,0,classical_baseline_too_small_and_not_beaten
SD3,derivative-pricing,C2_full_runtime_lt_baseline,0,classical_baseline_too_small_and_not_beaten
SD3,derivative-pricing,C3_full_t_count_gt_0,1,classical_baseline_too_small_and_not_beaten
SD3,derivative-pricing,C4_tau_tdepth_ge_10,1,classical_baseline_too_small_and_not_beaten
SD3,derivative-pricing,C5_baseline_ge_0_01s,0,classical_baseline_too_small_and_not_beaten
SD7,derivative-pricing,C1_tau_runtime_lt_10,1,trivial_oracle_or_no_non_clifford_depth
SD7,derivative-pricing,C2_full_runtime_lt_baseline,0,trivial_oracle_or_no_non_clifford_depth
SD7,derivative-pricing,C3_full_t_count_gt_0,0,trivial_oracle_or_no_non_clifford_depth
SD7,derivative-pricing,C4_tau_tdepth_ge_10,0,trivial_oracle_or_no_non_clifford_depth
SD7,derivative-pricing,C5_baseline_ge_0_01s,0,trivial_oracle_or_no_non_clifford_depth
SD8,derivative-pricing,C1_tau_runtime_lt_10,1,trivial_oracle_or_no_non_clifford_depth
SD8,derivative-pricing,C2_full_runtime_lt_baseline,0,trivial_oracle_or_no_non_clifford_depth
SD8,derivative-pricing,C3_full_t_count_gt_0,0,trivial_oracle_or_no_non_clifford_depth
SD8,derivative-pricing,C4_tau_tdepth_ge_10,0,trivial_oracle_or_no_non_clifford_depth
SD8,derivative-pricing,C5_baseline_ge_0_01s,0,trivial_oracle_or_no_non_clifford_depth
SM5,simulation-monte-carlo,C1_tau_runtime_lt_10,1,trivial_oracle_or_no_non_clifford_depth
SM5,simulation-monte-carlo,C2_full_runtime_lt_baseline,0,trivial_oracle_or_no_non_clifford_depth
SM5,simulation-monte-carlo,C3_full_t_count_gt_0,0,trivial_oracle_or_no_non_clifford_depth
SM5,simulation-monte-carlo,C4_tau_tdepth_ge_10,0,trivial_oracle_or_no_non_clifford_depth
SM5,simulation-monte-carlo,C5_baseline_ge_0_01s,0,trivial_oracle_or_no_non_clifford_depth
