label,passes_qdk_h4,failed_criteria,delta_t_count,delta_rotation_count,delta_rotation_depth,delta_num_tstates
SD10,False,C4_tau_tdepth_ge_10,0.0,24.0,4.0,384.0
SD12,False,C2_full_runtime_lt_baseline;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,0.0,24.0,4.0,384.0
SD13,False,C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,0.0,24.0,4.0,384.0
SD3,False,C1_tau_runtime_lt_10;C2_full_runtime_lt_baseline;C5_baseline_ge_0_01s,14.0,402.0,318.0,7728.0
SD7,False,C2_full_runtime_lt_baseline;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,0.0,20.0,4.0,320.0
SD8,False,C2_full_runtime_lt_baseline;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,0.0,20.0,4.0,320.0
SM5,False,C2_full_runtime_lt_baseline;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,0.0,20.0,4.0,320.0
SQ17,False,C4_tau_tdepth_ge_10,0.0,50.0,10.0,900.0
SQ18,False,C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,0.0,20.0,4.0,320.0
SQ5,False,C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,0.0,24.0,4.0,384.0
SX2,False,C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,0.0,24.0,4.0,384.0
SX3,False,C2_full_runtime_lt_baseline;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,0.0,16.0,4.0,272.0
SX5,False,C2_full_runtime_lt_baseline;C4_tau_tdepth_ge_10;C5_baseline_ge_0_01s,0.0,20.0,4.0,320.0
