profile,label,silo,log10_tau_runtime
sc_e3_surface,SD10,derivative-pricing,0.286944
sc_e4_surface,SD10,derivative-pricing,0.286944
ti_e3_surface,SD10,derivative-pricing,0.286944
ti_e4_surface,SD10,derivative-pricing,0.286944
maj_e6_surface,SD10,derivative-pricing,0.286944
maj_e6_floquet,SD10,derivative-pricing,0.286944
sc_e3_surface,SD12,derivative-pricing,0.286944
sc_e4_surface,SD12,derivative-pricing,0.286944
ti_e3_surface,SD12,derivative-pricing,0.286944
ti_e4_surface,SD12,derivative-pricing,0.286944
maj_e6_surface,SD12,derivative-pricing,0.286944
maj_e6_floquet,SD12,derivative-pricing,0.286944
sc_e3_surface,SD13,derivative-pricing,0.286944
sc_e4_surface,SD13,derivative-pricing,0.286944
ti_e3_surface,SD13,derivative-pricing,0.286944
ti_e4_surface,SD13,derivative-pricing,0.286944
maj_e6_surface,SD13,derivative-pricing,0.286944
maj_e6_floquet,SD13,derivative-pricing,0.286944
sc_e3_surface,SD3,derivative-pricing,2.350823
sc_e4_surface,SD3,derivative-pricing,2.417040
ti_e3_surface,SD3,derivative-pricing,2.350823
ti_e4_surface,SD3,derivative-pricing,2.417040
maj_e6_surface,SD3,derivative-pricing,2.090704
maj_e6_floquet,SD3,derivative-pricing,2.383616
sc_e3_surface,SD7,derivative-pricing,0.288656
sc_e4_surface,SD7,derivative-pricing,0.288656
ti_e3_surface,SD7,derivative-pricing,0.288656
ti_e4_surface,SD7,derivative-pricing,0.288656
maj_e6_surface,SD7,derivative-pricing,0.288656
maj_e6_floquet,SD7,derivative-pricing,0.288656
sc_e3_surface,SD8,derivative-pricing,0.288656
sc_e4_surface,SD8,derivative-pricing,0.288656
ti_e3_surface,SD8,derivative-pricing,0.288656
ti_e4_surface,SD8,derivative-pricing,0.288656
maj_e6_surface,SD8,derivative-pricing,0.288656
maj_e6_floquet,SD8,derivative-pricing,0.288656
sc_e3_surface,SM5,simulation-monte-carlo,0.288656
sc_e4_surface,SM5,simulation-monte-carlo,0.288656
ti_e3_surface,SM5,simulation-monte-carlo,0.288656
ti_e4_surface,SM5,simulation-monte-carlo,0.288656
maj_e6_surface,SM5,simulation-monte-carlo,0.288656
maj_e6_floquet,SM5,simulation-monte-carlo,0.288656
sc_e3_surface,SQ17,quantum-ml-finance,0.520698
sc_e4_surface,SQ17,quantum-ml-finance,0.315922
ti_e4_surface,SQ17,quantum-ml-finance,0.315922
maj_e6_surface,SQ17,quantum-ml-finance,0.315922
maj_e6_floquet,SQ17,quantum-ml-finance,0.315922
sc_e3_surface,SQ18,quantum-ml-finance,0.288656
sc_e4_surface,SQ18,quantum-ml-finance,0.288656
ti_e3_surface,SQ18,quantum-ml-finance,0.288656
ti_e4_surface,SQ18,quantum-ml-finance,0.288656
maj_e6_surface,SQ18,quantum-ml-finance,0.288656
maj_e6_floquet,SQ18,quantum-ml-finance,0.288656
sc_e3_surface,SQ5,quantum-ml-finance,0.286944
sc_e4_surface,SQ5,quantum-ml-finance,0.286944
ti_e3_surface,SQ5,quantum-ml-finance,0.286944
ti_e4_surface,SQ5,quantum-ml-finance,0.286944
maj_e6_surface,SQ5,quantum-ml-finance,0.286944
maj_e6_floquet,SQ5,quantum-ml-finance,0.286944
sc_e3_surface,SX2,other,0.286944
sc_e4_surface,SX2,other,0.286944
ti_e3_surface,SX2,other,0.286944
ti_e4_surface,SX2,other,0.286944
maj_e6_surface,SX2,other,0.286944
maj_e6_floquet,SX2,other,0.286944
sc_e3_surface,SX3,other,0.311754
sc_e4_surface,SX3,other,0.311754
ti_e3_surface,SX3,other,0.311754
ti_e4_surface,SX3,other,0.311754
maj_e6_surface,SX3,other,0.311754
maj_e6_floquet,SX3,other,0.311754
sc_e3_surface,SX5,other,0.288656
sc_e4_surface,SX5,other,0.288656
ti_e3_surface,SX5,other,0.288656
ti_e4_surface,SX5,other,0.288656
maj_e6_surface,SX5,other,0.288656
maj_e6_floquet,SX5,other,0.288656
