label,paper_id,silo,algorithm_family_trace_only,faithfulness_tier,h4_eligible,anchor_profile,anchor_epsilon,bare_status,full_status,bare_runtime_seconds,full_runtime_seconds,runtime_tau,bare_t_count,full_t_count,t_count_regime,bare_t_depth,full_t_depth,t_depth_tau,full_num_tstates,delta_num_tstates,qdk_magic_delta_positive
SD1,0608ad48d5b8,derivative-pricing,quantum-simulation,proxy,False,maj_e6_floquet,1e-04,success,success,9.810000000000001e-05,0.0001953,1.9908256880733943,0,0,zero_logical_t_count,4,8,2.0,1224.0,648.0,True
SD10,9b277c9234e8,derivative-pricing,other-gate-based,paper-family-template,True,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SD11,af45ea1743f6,derivative-pricing,quantum-ml,proxy,False,maj_e6_floquet,1e-04,success,success,5.8500000000000006e-05,0.0408105,697.6153846153845,0,930,nonzero_logical_t_count,3,1207,402.3333333333333,37602.0,37377.0,True
SD12,cb8d976cb90c,derivative-pricing,other-gate-based,paper-family-template,True,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SD13,cb8d976cb90c,derivative-pricing,other-gate-based,paper-family-template,True,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SD14,d429e0713a3d,derivative-pricing,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SD15,d429e0713a3d,derivative-pricing,amplitude-estimation,proxy,False,maj_e6_floquet,1e-04,success,success,5.8500000000000006e-05,0.0408105,697.6153846153845,0,930,nonzero_logical_t_count,3,1207,402.3333333333333,37602.0,37377.0,True
SD16,d429e0713a3d,derivative-pricing,hybrid,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SD2,081132e62980,derivative-pricing,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SD3,1bf880322e6f,derivative-pricing,hhl,paper-family-template,True,maj_e6_floquet,1e-04,success,success,4.05e-05,0.009796500000000001,241.8888888888889,0,14,nonzero_logical_t_count,2,320,160.0,7878.0,7728.0,True
