family,entity_id,n_value,m_precision_qubits,hardware_profile,epsilon,status,runtime_seconds,physical_qubits,t_depth,t_count,reason,wall_clock_total_seconds,source_file,exploratory_tail
hhl,hhl_s1_fixed_m,20,4,maj_e6_floquet,0.0001,ok,0.0895935,58872,2633,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,20,4,maj_e6_surface,0.0001,ok,0.836206,19468,2633,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,20,6,maj_e6_floquet,0.0001,ok,0.4284645,56760,12202,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,20,6,maj_e6_surface,0.0001,ok,3.9990020000000004,38220,12202,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,20,8,maj_e6_floquet,0.0001,ok,1.9230315000000002,54780,52884,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,20,8,maj_e6_surface,0.0001,ok,17.948294,36750,52884,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,50,4,maj_e6_floquet,0.0001,ok,0.2180985,70224,6372,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,50,4,maj_e6_surface,0.0001,ok,2.0355860000000003,25936,6372,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,50,6,maj_e6_floquet,0.0001,ok,1.0067190000000001,68244,28395,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,50,6,maj_e6_surface,0.0001,ok,9.396044,46746,28395,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,50,8,maj_e6_floquet,0.0001,ok,4.6810245,63492,128110,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,50,8,maj_e6_surface,0.0001,ok,43.689562,43218,128110,44,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,100,4,maj_e6_floquet,0.0001,ok,0.45103200000000004,84480,12599,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,100,4,maj_e6_surface,0.0001,ok,4.209632,58800,12599,20,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,100,6,maj_e6_floquet,0.0001,ok,2.0361165000000003,82500,54855,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,100,6,maj_e6_surface,0.0001,ok,19.003754,59290,54855,32,,,canonical_figure_phase8d_scaling.csv,false
hhl,hhl_s1_fixed_m,100,8,maj_e6_floquet,0.0001,ok,13.1227593,95076,245240,44,,,canonical_figure_phase8d_scaling.csv,false
