benchmark_id,algorithm_family,solver,matrix_model,n_value,target_kappa,achieved_kappa,tolerance,repeats,status,median_total_seconds,p25_total_seconds,p75_total_seconds,median_build_seconds,median_solve_seconds,median_relative_residual,min_relative_residual,max_relative_residual,median_iterations,memory_proxy_bytes,output_contract,comparison_scope,notes
dense_cholesky_n20_k100,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,20,100,99.99999999999999,0.0001,3,ok,0.00018780000391416252,0.00018035000539384782,0.0005323500008671544,0.00010119999933522195,8.660000457894057e-05,1.3720599011668234e-15,1.3720599011668234e-15,1.3720599011668234e-15,,3520,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n50_k100,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,50,100,100.0,0.0001,3,ok,0.0003423000016482547,0.00033999999868683517,0.00041605000296840444,0.00016450000111944973,0.00020260000019334257,1.2739743135141674e-15,1.2739743135141674e-15,1.2739743135141674e-15,,20800,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n100_k100,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,100,100,100.00000000000001,0.0001,3,ok,0.00033409999741706997,0.00032929999724728987,0.00046445000043604523,9.790000331122428e-05,0.00023970000620465726,1.4796381571676944e-15,1.4796381571676944e-15,1.4796381571676944e-15,,81600,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n250_k100,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,250,100,100.00000000000001,0.0001,3,ok,0.001694499995210208,0.0015247499977704138,0.0017779499976313673,0.000265199996647425,0.0012778999953297898,1.4563383851253265e-15,1.4563383851253265e-15,1.4563383851253265e-15,,504000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n500_k100,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,500,100,100.0,0.0001,3,ok,0.005280700002913363,0.005213349999394268,0.005655100001604296,0.0008170999935828149,0.004687299995566718,1.74329138133541e-15,1.74329138133541e-15,1.74329138133541e-15,,2008000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n1000_k100,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,1000,100,100.00000000000001,0.0001,3,ok,0.03139119999832474,0.031161300001258496,0.03260199999931501,0.0028231000032974407,0.029383300003246404,1.2468314366660235e-15,1.2468314366660235e-15,1.2468314366660235e-15,,8016000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n2000_k100,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,2000,100,100.0,0.0001,3,ok,0.1843388999986928,0.18360459999530576,0.19150420000369195,0.007452199992258102,0.1809474999899976,1.9567243187360306e-15,1.9567243187360306e-15,1.9567243187360306e-15,,32032000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n3000_k100,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,3000,100,100.0,0.0001,3,ok,0.5399687000026461,0.528696299996227,0.5480893499989179,0.013100999989546835,0.5190727000008337,1.1663167258441017e-15,1.1663167258441017e-15,1.1663167258441017e-15,,72048000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
dense_cholesky_n5000_k100,dense_direct,scipy.linalg.solve_assume_pos,shifted_1d_laplacian_stored_dense_spd,5000,100,100.0,0.0001,3,ok,2.0019505999953253,1.9734540499994182,2.02021469999454,0.03567440000188071,1.9897901999938767,1.1105287628522747e-15,1.1105287628522747e-15,1.1105287628522747e-15,,200080000,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Dense direct timing uses dense storage and a Cholesky-family scipy solve on the same SPD tridiagonal matrix family.
sparse_cg_n20_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,20,100,99.99999999999999,0.0001,3,ok,0.0008537999965483323,0.0007793999975547194,0.0020004999969387427,0.0003412999940337613,0.000512500002514571,2.0691753698318214e-15,2.0691753698318214e-15,2.0691753698318214e-15,20.0,1100,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n50_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,50,100,100.0,0.0001,3,ok,0.0010312999947927892,0.0010237999958917499,0.001037549998727627,0.00025260000256821513,0.0007875000010244548,9.88100874430543e-05,9.88100874430543e-05,9.88100874430543e-05,40.0,2780,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n100_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,100,100,100.00000000000001,0.0001,3,ok,0.001188399997772649,0.001164900000730995,0.0012366499940981157,0.00025189999723806977,0.0009166999952867627,9.436462535809814e-05,9.436462535809814e-05,9.436462535809814e-05,46.0,5580,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
sparse_cg_n250_k100_tol1e-04,sparse_iterative,scipy.sparse.linalg.cg,shifted_1d_laplacian_sparse_spd,250,100,100.00000000000001,0.0001,3,ok,0.0013195999927120283,0.0013161000024410896,0.0013858999955118634,0.0003001000004587695,0.0010125000117113814,9.02355866989301e-05,9.02355866989301e-05,9.02355866989301e-05,47.0,13980,full_solution_vector,"measured local scipy baseline for time-bound context, not a quantum advantage claim",Sparse CG exploits tridiagonal sparsity; convergence is reported via actual residual and iteration count.
