slr_paper_id,doi,zotero_item_key,title,match_method
0030bd185e0d,10.62311/nesx/rp-4-aug-2025,8INFJQUG,"AI-Augmented Quantitative Finance: A Multi-Methodological Framework Combining Machine Learning, Deep Learning, and Quantum Computing for Predictive Risk Modeling",doi
00c17032f4af,10.1109/aimlsystems67835.2025.11330637,4KUXNNPD,Toward Quantum Enabled Solutions for Real-Time Currency Arbitrage in Financial Markets,doi
00c3aaba39ac,10.48550/arxiv.2510.15903,IZEDEHZ4,Quantum and Classical Machine Learning in Decentralized Finance: Comparative Evidence from Multi-Asset Backtesting of Automated Market Makers,doi
0128a49a10cc,10.1038/s41598-024-68838-1,CKJ4VVPD,Quantum computational finance for martingale asset pricing in incomplete markets,doi
015040544f36,10.1007/978-3-031-13188-2_20,SMVJ6H5P,Verifying Fairness in Quantum Machine Learning,doi
01877ad38ab2,10.48550/arxiv.2208.07963,HCZXBGI7,Mixed Quantum-Classical Method For Fraud Detection with Quantum Feature Selection,doi
01e7ba36bcfc,10.1049/qtc2.12017,89DCMMXV,Analysis of a hybrid quantum network for classification tasks,doi
02db829631f9,10.1109/icnsoc66817.2025.00113,TKU5D3F2,Quantum Optimization for Portfolio Management in Financial Services Using the Variational Quantum Eigensolver (VQE) Algorithm,doi
0419801c5ed8,10.22967/HCIS.2025.15.015,I7ZFWNI7,Hybrid Quantum Fuzzy Neural Network Approach- Based SNS Sentimental Analysis for Stock Market Prediction,doi
043b5343fb3d,10.48550/arXiv.2501.15828,ACH8W3Z2,Hybrid Quantum Neural Networks with Amplitude Encoding: Advancing Recovery Rate Predictions,doi
05a01a257cc7,10.48550/arxiv.2511.21305,9K4AA8U7,Large-scale portfolio optimization using Pauli Correlation Encoding,doi
06fdf18c23c4,10.3390/e26110954,KW5DFG94,A Hybrid Quantum-Classical Model for Stock Price Prediction Using Quantum-Enhanced Long Short-Term Memory,doi
075a4a34de90,10.48550/arxiv.2409.07336,ICZ6M2EW,Efficient state preparation for multivariate Monte Carlo simulation,doi
081132e62980,10.48550/arxiv.2511.04942,D3HCDJ95,Quantum Algorithm for Local-Volatility Option Pricing via the Kolmogorov Equation,doi
082f292f8c48,10.1109/icasspw65056.2025.11011079,39B7DQWJ,Hybrid Encoding-based Quantum Self Attention for Financial Time Series Analysis,doi
090ce79070cb,10.48550/arxiv.2509.01496,IBGG6RVJ,Higher-Order Portfolio Optimization with Quantum Approximate Optimization Algorithm,doi
0929ef4fdc91,10.1109/rasse60029.2023.10363533,4NPIMG53,The Potential of Quantum Techniques for Stock Price Prediction,doi
0a1f9315f6a7,10.30574/wjarr.2024.22.3.1648,JI9ERBAB,"Quantum computing applications, challenges, and prospects in financial portfolio optimization",doi
0a824fa99e38,10.1109/qce65121.2025.00243,6AUTJGC4,Implementing Credit Risk Analysis with Quantum Singular Value Transformation,doi
0a96ec74c59f,10.48550/arxiv.2105.06240,6VJV429A,Parity Quantum Optimization: Benchmarks,doi
0b40a3e55edc,10.5281/zenodo.18353290,DBP57AML,QAMOO: Quantum Approximate Multi-Objective Optimization for Portfolio Management,doi
0b549647c8e5,10.2139/ssrn.6186258,DRAAPBCA,Scaling Analysis of Quantum Amplitude Estimation for Tokenized Asset Option Pricing: Validation and Barriers to Practical Advantage,doi
0cfd33edfd1a,10.48550/arxiv.2404.00015,EKMGK442,Empowering Credit Scoring Systems with Quantum-Enhanced Machine Learning,doi
0d70169cb87f,10.64206/h26qc363,9RMMEVTV,A Comparative Study of Classical and Quantum Machine Learning for Large-Scale Financial Forecasting,doi
0df7a9f2fffd,10.48550/arxiv.2512.21819,SQDCXIQQ,Q-A3C2: Quantum Reinforcement Learning with Time-Series Dynamic Clustering for Adaptive ETF Stock Selection,doi
0eb7690657f2,10.48550/arxiv.2406.00486,DPTE6PE6,Quantum Computing for Option Portfolio Analysis,doi
0fb65bb44954,10.48550/arxiv.2207.10555,V9VN47E4,Benchmarking the performance of portfolio optimization with QAOA,doi
0fb8e2505865,10.1109/softt67007.2025.11213027,Z8EUF777,Designing an AIOps (Artificial Intelligent Operations) Framework for Energy-Efficient IT Operations: A Case Study on Cloud Computing Environment,doi
