paper_id,pdf_file,md_file,page_count,char_count,status,error,timestamp
001f5dbe487a,001f5dbe487a_applications_of_vedic_computing_for_quantum_computing.pdf,001f5dbe487a_applications_of_vedic_computing_for_quantum_computing.md,7,18906,success,,2026-04-08T22:19:20
0030bd185e0d,0030bd185e0d_ai_augmented_quantitative_finance_a_multi_methodological_framework_combining_mac.pdf,0030bd185e0d_ai_augmented_quantitative_finance_a_multi_methodological_framework_combining_mac.md,25,53985,success,,2026-04-08T22:19:20
0067a26ce270,0067a26ce270_quantum_algorithm_for_stochastic_optimal_stopping_problems.pdf,0067a26ce270_quantum_algorithm_for_stochastic_optimal_stopping_problems.md,46,129287,success,,2026-04-08T22:19:20
00c17032f4af,00c17032f4af_toward_quantum_enabled_solutions_for_real_time_currency_arbitrage_in_financial_m.pdf,00c17032f4af_toward_quantum_enabled_solutions_for_real_time_currency_arbitrage_in_financial_m.md,6,25178,success,,2026-04-08T22:19:20
01326ce2213f,01326ce2213f_quantum_chebyshev_transform_mapping_embedding_learning_and_sampling_distribution.pdf,01326ce2213f_quantum_chebyshev_transform_mapping_embedding_learning_and_sampling_distribution.md,8,44928,success,,2026-04-08T22:19:20
01877ad38ab2,01877ad38ab2_mixed_quantum_classical_method_for_fraud_detection_with_quantum_feature_selectio.pdf,01877ad38ab2_mixed_quantum_classical_method_for_fraud_detection_with_quantum_feature_selectio.md,11,48893,success,,2026-04-08T22:19:20
01a1ecaddb94,01a1ecaddb94_optimized_stock_price_forecasting_a_deep_learning_approach_using_qcto_based_gru_.pdf,01a1ecaddb94_optimized_stock_price_forecasting_a_deep_learning_approach_using_qcto_based_gru_.md,6,23003,success,,2026-04-08T22:19:20
01e7ba36bcfc,01e7ba36bcfc_analysis_of_a_hybrid_quantum_network_for_classification_tasks.pdf,01e7ba36bcfc_analysis_of_a_hybrid_quantum_network_for_classification_tasks.md,7,30663,success,,2026-04-08T22:19:20
026a7b6919fc,026a7b6919fc_hybrid_classical_quantum_computing_applications_to_statistical_mechanics_of_fina.pdf,026a7b6919fc_hybrid_classical_quantum_computing_applications_to_statistical_mechanics_of_fina.md,11,26849,success,,2026-04-08T22:19:20
02db829631f9,02db829631f9_quantum_optimization_for_portfolio_management_in_financial_services_using_the_va.pdf,02db829631f9_quantum_optimization_for_portfolio_management_in_financial_services_using_the_va.md,6,36501,success,,2026-04-08T22:19:20
04326473e1bb,04326473e1bb_quantum_algorithms_for_solving_large_scale_optimization_problems_challenges_and_.pdf,04326473e1bb_quantum_algorithms_for_solving_large_scale_optimization_problems_challenges_and_.md,5,27211,success,,2026-04-08T22:19:20
